"title","directedBy","starring","avgRating","imdbId","item_id","genre","star","writer","company","country","year","group"
"Mission: Impossible - Rogue Nation","Christopher McQuarrie","Tom Cruise,Jeremy Renner,Simon Pegg,Rebecca Ferguson,Ving Rhames,Sean Harris,Simon McBurney,Jingchu Zhang,Tom Hollander,Jens Hultén,Alec Baldwin,America Olivo",3.63334,2381249,111781,"Action","Tom Cruise","Bruce Geller","Paramount Pictures","United States",2015,4
"Chronicles of Riddick, The","David Twohy","Vin Diesel, Colm Feore, Thandie Newton, Judi Dench, Karl Urban, Alexa Davalos, Linus Roache, Yorick van Wageningen, Nick Chinlund, Keith David, Mark Gibbon, ",3.33839,296572,8371,NA,NA,NA,NA,NA,NA,17
"From Hell","Albert Hughes, Allen Hughes","Johnny Depp, Heather Graham, Robbie Coltrane, Ian Holm, Katrin Cartlidge, Jason Flemyng",3.31404,120681,4865,"Horror","Johnny Depp","Alan Moore","Twentieth Century Fox","United States",2001,1
"Beavis and Butt-Head Do America","Mike Judge","Mike Judge, Robert Stack, Jacqueline Barba, Cloris Leachman, Eric Bogosian",2.92387,115641,1405,"Animation","Mike Judge","Mike Judge","Paramount Pictures","United States",1996,1
"Finding Dory","Andrew Stanton","Ellen DeGeneres,Albert Brooks,Diane Keaton,Eugene Levy,Ty Burrell",3.57757,2277860,157296,"Animation","Ellen DeGeneres","Andrew Stanton","Pixar Animation Studios","United States",2016,1
"Phenomenon","Jon Turteltaub","Robert Duvall, John Travolta, Forest Whitaker, Kyra Sedgwick",3.45862,117333,802,"Drama","John Travolta","Gerald Di Pego","Touchstone Pictures","United States",1996,2
"I Love You, Man","John Hamburg","Paul Rudd, Jason Segel, Rashida Jones, Sarah Burns, Jaime Pressly, Jon Favreau, Jane Curtin, J.K. Simmons, Andy Samberg, Rob Huebel, Kym Whitley, Mather Zickel, Aziz Ansari, Nick Kroll, Catherine Reitman, Carla Gallo, Josh Cooke, Jay Chandrasekhar, Jerry Minor, Joe Lo Truglio, Thomas Lennon, Matt Walsh, Lou Ferrigno, David Wain, David Krumholtz",3.58196,1155056,67087,"Comedy","Paul Rudd","John Hamburg","Dreamworks Pictures","United States",2009,3
"Bolt","Byron Howard, Chris Williams","John Travolta, Miley Cyrus, Susie Essman, Mark Walton, Malcolm McDowell, James Lipton, Greg Germann, Diedrich Bader, Nick Swardson, J.P. Manoux, Dan Fogelman, Chloë Grace Moretz, Brian Stepanek, Phil LaMarr, Scott Menville, Paul Pape, Tara Strong",3.29021,397892,63859,"Animation","John Travolta","Dan Fogelman","Walt Disney Animation Studios","United States",2008,1
"Children of Men","Alfonso Cuarón","Clive Owen, Julianne Moore, Michael Caine, Chiwetel Ejiofor, Charlie Hunnam, Danny Huston, Peter Mullan, Clare-Hope Ashitey",3.91306,206634,48774,"Adventure","Julianne Moore","Alfonso Cuarón","Universal Pictures","United States",2006,1
"Underworld: Evolution","Len Wiseman","Kate Beckinsale, Scott Speedman, Tony Curran, Shane Brolly, Derek Jacobi, Bill Nighy, Michael Sheen, Sophia Myles",3.31766,401855,42738,"Action","Kate Beckinsale","Danny McBride","Screen Gems","United States",2006,4
"Dark Knight Rises, The","Christopher Nolan","Christian Bale, Michael Caine, Gary Oldman, Anne Hathaway, Tom Hardy, Joseph Gordon-Levitt, Marion Cotillard",3.97472,1345836,91529,NA,NA,NA,NA,NA,NA,2
"Judge Dredd","Danny Cannon","Sylvester Stallone, Armand Assante, Rob Schneider, Diane Lane, Jürgen Prochnow, Max von Sydow, Joan Chen, Ewen Bremner",2.549,113492,173,"Action","Sylvester Stallone","John Wagner","Hollywood Pictures","United States",1995,4
"Swingers","Doug Liman","Jon Favreau, Ron Livingston, Patrick Van Horn, Vince Vaughn",3.81913,117802,1060,"Comedy","Vince Vaughn","Jon Favreau","Doug Liman Productions","United States",1996,3
"Sleepers","Barry Levinson","Kevin Bacon, Billy Crudup, Jason Patric, Brad Pitt, Terry Kinney, Robert De Niro, Ron Eldard, Dustin Hoffman, Minnie Driver, Brad Renfro, Vittorio Gassman",3.62625,117665,1061,"Crime","Robert De Niro","Lorenzo Carcaterra","Astoria Films","United States",1996,1
"Run Lola Run","Tom Tykwer","Franka Potente, Moritz Bleibtreu, Herbert Knaup, Nina Petri, Armin Rohde, Hans Paetsch",3.96496,130827,2692,"Crime","Franka Potente","Tom Tykwer","X-Filme Creative Pool","Germany",1998,1
"Mummy, The","Stephen Sommers","Brendan Fraser, John Hannah, Arnold Vosloo, Rachel Weisz, Oded Fehr, Kevin J. O'Connor, Jonathan Hyde, Patricia Velasquez",3.21129,120616,2617,NA,NA,NA,NA,NA,NA,5
"27 Dresses","Anne Fletcher","Katherine Heigl, Judy Greer, James Marsden, Maulik Pancholy, Krysten Ritter, Melora Hardin, Edward Burns, Malin Akerman, Ronald Guttman",3.14485,988595,56949,"Comedy","Katherine Heigl","Aline Brosh McKenna","Fox 2000 Pictures","United States",2008,3
"Charlie and the Chocolate Factory","Tim Burton","Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter, Noah Taylor, Missi Pyle, James Fox, Deep Roy, Christopher Lee",3.14607,367594,30793,"Adventure","Johnny Depp","Roald Dahl","Warner Bros.","United Kingdom",2005,1
"Tomorrow Never Dies","Roger Spottiswoode","Pierce Brosnan, Jonathan Pryce, Teri Hatcher, Michelle Yeoh, Ricky Jay, Judi Dench, Desmond Llewelyn, Samantha Bond, Joe Don Baker",3.22693,120347,1722,"Action","Pierce Brosnan","Bruce Feirstein","Eon Productions","United Kingdom",1997,4
"Inconvenient Truth, An","Davis Guggenheim","Al Gore, Billy West",3.5991,497116,45950,NA,NA,NA,NA,NA,NA,18
"X-Files: Fight the Future, The","Rob Bowman","David Duchovny, Gillian Anderson, Terry O'Quinn, Martin Landau, Blythe Danner, Armin Mueller-Stahl, John Neville,",3.32917,120902,1909,NA,NA,NA,NA,NA,NA,19
"Planet of the Apes","Tim Burton","Michael Clarke Duncan, Tim Roth, Mark Wahlberg, Helena Bonham Carter, Paul Giamatti, Estella Warren, Kris Kristofferson, Erick Avari",2.75286,133152,4643,"Action","Mark Wahlberg","Pierre Boulle","Twentieth Century Fox","United States",2001,4
"Fast and the Furious, The","Rob Cohen","Vin Diesel, Paul Walker, Jordana Brewster, Michelle Rodriguez",2.9518,232500,4369,NA,NA,NA,NA,NA,NA,20
"Never Been Kissed","Raja Gosnell","David Arquette, Michael Vartan, Drew Barrymore, Molly Shannon",3.06183,151738,2581,"Comedy","Drew Barrymore","Abby Kohn","Fox 2000 Pictures","United States",1999,3
"Pearl Harbor","Michael Bay","Ben Affleck, Josh Hartnett, Kate Beckinsale, Cuba Gooding Jr., Jon Voight, Alec Baldwin, Tom Sizemore, William Lee Scott, Ewen Bremner, Jaime King, Jennifer Garner, Sara Rue, Michael Shannon, Dan Aykroyd, Colm Feore, Mako, Cary-Hiroyuki Tagawa, William Fichtner, Brian Haley, Scott Wilson, Tom Everett, Tomas Arana, Beth Grant, Sung Kang, Yuji Okumoto, Michael Milhoan, Peter Firth, John Diehl, Ted McGinley, Madison Mason, Kim Coates, Eric Christian Olsen, Michael Shamus Wiles, David Kaufman, Guy Torry, Leland Orser, Daniel Mays, Toshi Toda",2.85315,213149,4310,"Action","Ben Affleck","Randall Wallace","Touchstone Pictures","United States",2001,4
"John Wick","David Leitch, Chad Stahelski","Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe, Dean Winters, Adrianne Palicki, Daniel Bernhardt, Bridget Moynahan, John Leguizamo, Ian McShane, Bridget Regan, Lance Reddick, Keith Jardine, Randall Duk Kim, David Patrick Kelly, Clarke Peters, Kevin Nash, Jason Isaacs",3.8375,2911666,115149,"Action","Keanu Reeves","Derek Kolstad","Summit Entertainment","United States",2014,4
"Boondock Saints, The","Troy Duffy","Willem Dafoe, David Della Rocco, Sean Patrick Flanery, Norman Reedus",3.87081,144117,3275,NA,NA,NA,NA,NA,NA,21
"Grosse Pointe Blank","George Armitage","Alan Arkin, Dan Aykroyd, John Cusack, Minnie Driver, Jeremy Piven, Hank Azaria, Joan Cusack",3.72124,119229,1500,"Action","John Cusack","Tom Jankiewicz","Hollywood Pictures","United States",1997,4
"Saw","James Wan","Leigh Whannell, Tobin Bell, Danny Glover, Cary Elwes, Ken Leung, Monica Potter, Dina Meyer",3.30186,387564,8957,"Horror","Cary Elwes","Leigh Whannell","Evolution Entertainment","United States",2004,1
"Spider-Man 3","Sam Raimi","Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church, James Franco",2.8639,413300,52722,"Action","Tobey Maguire","Sam Raimi","Columbia Pictures","United States",2007,4
"Blade II","Guillermo del Toro","Kris Kristofferson, Ron Perlman, Wesley Snipes, Leonor Varela, Norman Reedus, Thomas Kretschmann, Donnie Yen",3.12454,187738,5254,"Action","Wesley Snipes","Marv Wolfman","New Line Cinema","Germany",2002,4
"X-Men: The Last Stand","Brett Ratner","Hugh Jackman, Halle Berry, Ian McKellen, Patrick Stewart, Famke Janssen, Anna Paquin, Kelsey Grammer, James Marsden, Rebecca Romijn, Shawn Ashmore, Aaron Stanford, Vinnie Jones, Ellen Page, Daniel Cudmore, Ben Foster, Michael Murphy, Dania Ramirez, Shohreh Aghdashloo, Josef Sommer, Bill Duke, Eric Dane, Stan Lee, Cameron Bright, Julian Richings, Mei Melançon, Omahyra, Ken Leung, R. Lee Ermey, Olivia Williams",3.23013,376994,45499,NA,NA,NA,NA,NA,NA,22
"Other Guys, The","Adam McKay","Derek Jeter, Samuel L. Jackson, Dwayne Johnson, Eva Mendes, Rob Riggle, Damon Wayans Jr., Michael Keaton, Will Ferrell, Mark Wahlberg, Steve Coogan, Bobby Cannavale, Zoe Lister Jones, Rob Huebel, Lindsay Sloane, Brianne Moncrief, Anne Heche, Ice-T",3.43525,1386588,79592,NA,NA,NA,NA,NA,NA,8
"Flubber","Les Mayfield","Raymond J. Barry, Christopher McDonald, Robin Williams, Marcia Gay Harden",2.58185,119137,1702,"Comedy","Robin Williams","Samuel W. Taylor","Walt Disney Pictures","United States",1997,3
"Cloud Atlas","Tom Tykwer, Andy Wachowski, Lana Wachowski","Tom Hanks, Halle Berry, Jim Broadbent, Hugo Weaving, Jim Sturgess, Doona Bae, Ben Whishaw, Keith David, James D'Arcy, Xun Zhou, Susan Sarandon, Hugh Grant,",3.56958,1371111,97752,"Action","Tom Hanks","David Mitchell","Cloud Atlas Productions","United States",2012,4
"Skyfall","Sam Mendes","Daniel Craig, Ralph Fiennes, Javier Bardem, Ben Whishaw, Helen McCrory, Judi Dench, Naomie Harris, Albert Finney, Bérénice Marlohe, ",3.7424,1074638,96079,"Action","Daniel Craig","Neal Purvis","Metro-Goldwyn-Mayer (MGM)","United Kingdom",2012,4
"Fugitive, The","Andrew Davis","Harrison Ford, Tommy Lee Jones, Julianne Moore, Sela Ward",3.9766,106977,457,NA,NA,NA,NA,NA,NA,23
"Tin Cup","Ron Shelton","Kevin Costner, Don Johnson, Cheech Marin, Rene Russo",3.17383,117918,852,"Comedy","Kevin Costner","John Norville","New Regency Productions","United States",1996,3
"Rise of the Planet of the Apes","Rupert Wyatt","James Franco, Andy Serkis, Freida Pinto, John Lithgow, Brian Cox",3.54368,1318514,88744,"Action","James Franco","Rick Jaffa","Twentieth Century Fox","United States",2011,4
"Blood Diamond","Edward Zwick","Leonardo DiCaprio, Jennifer Connelly, Djimon Hounsou, Michael Sheen, Kagiso Kuypers, Arnold Vosloo, Antony Coleman, Benu Mabhena, Anointing Lukola, David Harewood, Jimi Mistry, Marius Weyers, Stephen Collins, Ntare Mwine",3.8537,450259,49530,"Adventure","Leonardo DiCaprio","Charles Leavitt","Warner Bros.","United States",2006,1
"Face/Off","John Woo","Nicolas Cage, Alessandro Nivola, John Travolta, Joan Allen, Gina Gershon, Dominique Swain, Nick Cassavetes, Colm Feore, CCH Pounder",3.32672,119094,1573,"Action","John Travolta","Mike Werb","Permut Presentations","United States",1997,4
"Wedding Planner, The","Adam Shankman","Jennifer Lopez, Matthew McConaughey, Bridgette Wilson, Justin Chambers, Judy Greer",2.78315,209475,4069,NA,NA,NA,NA,NA,NA,24
"Rush","Ron Howard","Daniel Brühl, Chris Hemsworth, Olivia Wilde, Natalie Dormer, Tom Wlaschiha, Alexandra Maria Lara, Joséphine de La Baume, Pierfrancesco Favino",3.87455,1979320,104913,"Action","Daniel Brühl","Peter Morgan","Exclusive Media Group","United Kingdom",2013,4
"Player, The","Robert Altman","Tim Robbins, Greta Scacchi, Fred Ward, Whoopi Goldberg, Peter Gallagher, Brion James, Cynthia Stevenson, Vincent D'Onofrio, Dean Stockwell, Richard E. Grant, Sydney Pollack, Lyle Lovett, Dina Merrill, Randall Batinkoff, Jeremy Piven, Gina Gershon, Steve Allen, Richard Anderson, Rene Auberjonois, Harry Belafonte, Shari Belafonte, Karen Black, Michael Bowen, Gary Busey, Robert Carradine, Cher, James Coburn, John Cusack, Paul Dooley, Peter Falk, Felicia Farr, Louise Fletcher, Dennis Franz, Teri Garr, Leeza Gibbons, Scott Glenn, Jeff Goldblum, Elliott Gould, Joel Grey, David Alan Grier, Buck Henry, Anjelica Huston, Kathy Ireland, Sally Kellerman, Sally Kirkland, Jack Lemmon, Marlee Matlin, Andie MacDowell, Malcolm McDowell, Jayne Meadows, Martin Mull, Jennifer Nash, Nick Nolte, Alexandra Powers, Bert Remsen, Guy Remsen, Burt Reynolds, Jack Riley, Julia Roberts, Mimi Rogers, Annie Ross, Alan Rudolph, Jill St. John, Susan Sarandon, Rod Steiger, Lily Tomlin, Robert Wagner, Ray Walston, Bruce Willis, Patrick Swayze",3.92309,105151,2289,NA,NA,NA,NA,NA,NA,3
"Road, The","John Hillcoat","Viggo Mortensen, Kodi Smit-McPhee, Robert Duvall, Guy Pearce, Molly Parker, Charlize Theron",3.62032,898367,63072,NA,NA,NA,NA,NA,NA,25
"50 First Dates","Peter Segal","Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin, Dan Aykroyd, Amy Hill, Allen Covert, Blake Clark, Maya Rudolph, Peter Dante, Jonathan Loughran, Jackie Sandler, Kevin James, Missi Pyle",3.27533,343660,7293,"Comedy","Adam Sandler","George Wing","Columbia Pictures","United States",2004,3
"Bad Santa","Terry Zwigoff","Billy Bob Thornton, Lauren Graham, Bernie Mac, John Ritter, Tony Cox, Brett Kelly, Lauren Tom, Ajay Naidu",3.33985,307987,6957,"Comedy","Billy Bob Thornton","Glenn Ficarra","Columbia Pictures","Germany",2003,3
"What Women Want","Nancy Meyers","Alan Alda, Mel Gibson, Helen Hunt, Marisa Tomei, Ashley Johnson, Lauren Holly",3.09665,207201,4018,"Comedy","Mel Gibson","Josh Goldsmith","Paramount Pictures","United States",2000,3
"Monster","Patty Jenkins","Charlize Theron, Christina Ricci, Bruce Dern, Lee Tergesen, Annie Corley, Pruitt Taylor Vince, Marc Macaulay, Scott Wilson, Kane Hodder, ",3.60834,340855,7160,"Biography","Charlize Theron","Patty Jenkins","Media 8 Entertainment","United States",2003,1
"That Thing You Do!","Tom Hanks","Johnathon Schaech, Tom Everett Scott, Steve Zahn, Liv Tyler, Tom Hanks, Charlize Theron, Giovanni Ribisi",3.43356,117887,1042,"Comedy","Tom Hanks","Tom Hanks","Clavius Base","United States",1996,3
"Once Upon a Time in Mexico","Robert Rodriguez","Antonio Banderas, Salma Hayek, Johnny Depp, Rubén Blades, Mickey Rourke, Eva Mendes, Danny Trejo, Enrique Iglesias, Cheech Marin, Willem Dafoe",3.17089,285823,6709,"Action","Antonio Banderas","Robert Rodriguez","Columbia Pictures","United States",2003,4
"Kill Bill: Vol. 2","Quentin Tarantino","Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah, Lucy Liu, Vivica A. Fox, Samuel L. Jackson, Michael Parks",3.82295,378194,7438,"Action","Uma Thurman","Quentin Tarantino","Miramax","United States",2004,4
"3:10 to Yuma","James Mangold","Russell Crowe, Christian Bale, Ben Foster, Peter Fonda, Gretchen Mol",3.72501,381849,54997,"Action","Russell Crowe","Halsted Welles","Lionsgate","United States",2007,4
"Chicago","Rob Marshall","Richard Gere, Queen Latifah, Renée Zellweger, Catherine Zeta-Jones, Taye Diggs, John C. Reilly",3.52115,299658,5991,"Comedy","Renée Zellweger","Bill Condon","Miramax","United States",2002,3
"Jay and Silent Bob Strike Back","Kevin Smith","Jason Mewes, Kevin Smith, Ben Affleck, Jeff Anderson, Brian O'Halloran, Shannon Elizabeth, Eliza Dushku, Ali Larter, Jennifer Schwalbach, Will Ferrell, Jason Lee, Judd Nelson, George Carlin, Carrie Fisher, Seann William Scott, Jon Stewart, Jules Asner, Steve Kmetko, Tracy Morgan, Gus Van Sant, Chris Rock, Jamie Kennedy, Wes Craven, Shannen Doherty, Mark Hamill, Marc Blucas, Diedrich Bader, Joseph D. Reitman, Joey Lauren Adams, Dwight Ewell, Alanis Morissette, Jason Biggs, Matt Damon, James Van Der Beek",3.2756,261392,4734,"Comedy","Jason Mewes","Kevin Smith","Dimension Films","United States",2001,3
"The Queen","Stephen Frears","Helen Mirren,James Cromwell,Alex Jennings,Roger Allam,Sylvia Syms,Michael Sheen,Helen McCrory,Mark Bazeley,Earl Cameron",3.6965,436697,47629,"Biography","Helen Mirren","Peter Morgan","Pathé Pictures International","United Kingdom",2006,1
"1408","Mikael Håfström","John Cusack, Samuel L. Jackson, Tony Shalhoub, Mary McCormack",3.37059,450385,53953,"Fantasy","John Cusack","Matt Greenberg","Dimension Films","United States",2007,1
"Good Night, and Good Luck.","George Clooney","David Strathairn, George Clooney, Robert Downey Jr., Patricia Clarkson, Ray Wise",3.78277,433383,39292,"Biography","David Strathairn","George Clooney","Warner Independent Pictures (WIP)","United States",2005,1
"Rambo","Sylvester Stallone","Sylvester Stallone, Julie Benz, Matthew Marsden, Graham McTavish",3.29476,462499,57528,"Action","Sylvester Stallone","Art Monterastelli","Lionsgate","Germany",2008,4
"There Will Be Blood","Paul Thomas Anderson","Daniel Day-Lewis, Paul Dano, Ciarán Hinds, Dillon Freasier",4.00722,469494,56782,"Drama","Daniel Day-Lewis","Paul Thomas Anderson","Paramount Vantage","United States",2007,2
"Star Trek Beyond","Justin Lin","Zoe Saldana,Chris Pine,Zachary Quinto,Karl Urban,Anton Yelchin",3.55187,2660888,135569,"Action","Chris Pine","Simon Pegg","Paramount Pictures","United States",2016,4
"Chocolat","Lasse Hallström","Juliette Binoche, Lena Olin, Johnny Depp, Judi Dench, Alfred Molina, Peter Stormare, Carrie-Anne Moss",3.67154,241303,4014,"Drama","Juliette Binoche","Joanne Harris","Miramax","United Kingdom",2000,2
"Hotel Rwanda","Terry George","Don Cheadle, Nick Nolte, Sophie Okonedo, Joaquin Phoenix",3.97845,395169,30749,"Biography","Don Cheadle","Keir Pearson","United Artists","United Kingdom",2004,1
"Garden State","Zach Braff","Zach Braff, Natalie Portman, Peter Sarsgaard, Ian Holm",3.73058,333766,8784,"Comedy","Zach Braff","Zach Braff","Camelot Pictures","United States",2004,3
"Chronicle","Josh Trank","Michael B. Jordan, Michael Kelly, Alex Russell",3.60015,1706593,92420,"Adventure","Dane DeHaan","Max Landis","Twentieth Century Fox","United States",2012,1
"Rounders","John Dahl","Matt Damon, Gretchen Mol, John Malkovich, Ray Iannicelli, John Turturro, Josh Mostel, Lenny Clarke, Lenny Venito, Martin Landau, Tom Aldredge, Edward Norton, Melina Kanakaredes, Chris Messina, Famke Janssen, Goran Visnjic, Michael Rispoli, Josh Pais, Adam LeFevre, David Zayas",3.71545,128442,2231,"Crime","Matt Damon","David Levien","Miramax","United States",1998,1
"Hero","Yimou Zhang","Jet Li, Tony Leung Chiu Wai, Maggie Cheung, Ziyi Zhang, Daoming Chen, Donnie Yen",3.89592,299977,7090,"Action","Jet Li","Feng Li","Edko Films","China",2002,4
"Enchanted","Kevin Lima","Amy Adams, Patrick Dempsey, Susan Sarandon, James Marsden",3.47696,461770,56152,"Comedy","Amy Adams","Bill Kelly","Walt Disney Pictures","United States",2007,3
"Mallrats","Kevin Smith","Jason Lee, Jeremy London, Shannen Doherty, Claire Forlani, Ben Affleck, Joey Lauren Adams, Jason Mewes",3.56941,113749,180,"Comedy","Shannen Doherty","Kevin Smith","Gramercy Pictures (I)","United States",1995,3
"Dawn of the Planet of the Apes","Matt Reeves","Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell, Toby Kebbell, Kodi Smit-McPhee, Kirk Acevedo, Nick Thurston, Judy Greer, Keir O'Donnell, Kevin Rankin, J.D. Evermore, Michael Papajohn, Thomas Rosales Jr.",3.55382,2103281,112623,"Action","Gary Oldman","Mark Bomback","Chernin Entertainment","United States",2014,4
"Young Guns II","Geoff Murphy","Emilio Estevez, Lou Diamond Phillips, Christian Slater, Kiefer Sutherland, William L. Petersen, James Coburn, Balthazar Getty, R.D. Call, Viggo Mortensen",2.97762,100994,1379,"Action","Emilio Estevez","John Fusco","Morgan Creek Entertainment","United States",1990,4
"Client, The","Joel Schumacher","Susan Sarandon, Tommy Lee Jones, Mary-Louise Parker, Anthony LaPaglia, J.T. Walsh, Anthony Edwards, Brad Renfro, Will Patton, Bradley Whitford, Anthony Heald, Kim Coates, Kimberly Scott, William H. Macy, Ossie Davis, William Sanderson, Dan Castellaneta, John Diehl",3.46525,109446,350,NA,NA,NA,NA,NA,NA,26
"Silence of the Lambs, The","Jonathan Demme","Jodie Foster, Anthony Hopkins, Scott Glenn, Anthony Heald, Ted Levine",4.15014,102926,593,NA,NA,NA,NA,NA,NA,27
"Babel","Alejandro González Iñárritu","Brad Pitt, Cate Blanchett, Mohamed Akhzam, Adriana Barraza, Elle Fanning, Gael García Bernal, Clifton Collins Jr., Michael Peña, R.D. Call, Rinko Kikuchi, Kôji Yakusho, Yoshi Ando, Masami Kosaka",3.62378,449467,46723,"Drama","Brad Pitt","Guillermo Arriaga","Paramount Pictures","United States",2006,2
"Johnny Mnemonic","Robert Longo","Ice-T , Takeshi Kitano, Keanu Reeves, Dina Meyer, Dennis Akayama, Dolph Lundgren, Henry Rollins, Barbara Sukowa, Udo Kier, Tracy Tweed",2.75794,113481,172,"Action","Keanu Reeves","William Gibson","TriStar Pictures","Canada",1995,4
"Deadpool","Tim Miller","Ryan Reynolds,Karan Soni,Ed Skrein,Morena Baccarin,T.J. Miller,Stefan Kapicic,Brianna Hildebrand,Kyle Cassie,Jed Rees,Gina Carano,Leslie Uggams",3.86455,1431045,122904,"Action","Ryan Reynolds","Rhett Reese","Twentieth Century Fox","United States",2016,4
"Forrest Gump","Robert Zemeckis","Tom Hanks, Gary Sinise, Mykelti Williamson, Robin Wright Penn, Sally Field",4.06633,109830,356,"Drama","Tom Hanks","Winston Groom","Paramount Pictures","United States",1994,2
"Matrix Reloaded, The","Andy Wachowski, Larry Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Jada Pinkett Smith, Monica Bellucci, Lambert Wilson, Gloria Foster, Harold Perrineau Jr., Nona Gaye",3.36812,234215,6365,NA,NA,NA,NA,NA,NA,28
"Eraser","Chuck Russell","James Caan, James Coburn, Arnold Schwarzenegger, Vanessa L. Williams",3.16814,116213,786,"Action","Arnold Schwarzenegger","Tony Puryear","Kopelson Entertainment","United States",1996,4
